symbol,trades,wins,win_rate,total_pnl,pnl_per_trade,overnight_trades,max_drawdown
HFCL,27,16,0.593,7783.44,288.28,14,-225.3
BHEL,33,12,0.364,2235.97,67.76,17,-371.21
ADANIGREEN,34,13,0.382,1806.62,53.14,18,-503.18
RPOWER,32,15,0.469,1416.18,44.26,19,-323.81
YESBANK,31,12,0.387,1312.55,42.34,15,-577.49
MPHASIS,32,17,0.531,1221.61,38.18,23,-223.52
BANKBARODA,29,16,0.552,1204.87,41.55,19,-341.78
ASHOKLEY,26,8,0.308,1171.69,45.07,15,-318.09
IDFCFIRSTB,30,17,0.567,1109.88,37.0,16,-244.45
COFORGE,25,13,0.52,1021.01,40.84,20,-319.22
INDUSINDBK,29,14,0.483,947.99,32.69,18,-217.7
ADANIPORTS,34,16,0.471,918.3,27.01,18,-258.28
NHPC,27,11,0.407,827.38,30.64,16,-302.78
NMDC,28,10,0.357,738.12,26.36,19,-553.07
VEDL,32,13,0.406,693.38,21.67,18,-1110.52
UNIONBANK,32,13,0.406,564.19,17.63,20,-270.29
SUZLON,32,18,0.562,536.38,16.76,16,-428.74
PNB,31,17,0.548,286.09,9.23,19,-382.41
NATIONALUM,31,7,0.226,172.64,5.57,19,-916.01
TATASTEEL,32,12,0.375,151.18,4.72,19,-459.13
COALINDIA,33,12,0.364,-112.68,-3.41,14,-612.5
SAIL,37,10,0.27,-244.76,-6.62,18,-1275.06
IDEA,30,9,0.3,-469.33,-15.64,16,-1573.55
NTPC,36,9,0.25,-669.25,-18.59,17,-873.69
