symbol,trades,wins,win_rate,total_pnl,pnl_per_trade,max_drawdown
HFCL,34,22,0.647,2604.06,76.59,-425.15
ASHOKLEY,36,23,0.639,2165.31,60.15,-203.65
NHPC,36,24,0.667,1675.91,46.55,-84.48
VEDL,40,18,0.45,1568.3,39.21,-531.05
COFORGE,37,23,0.622,1502.3,40.6,-302.7
SUZLON,42,24,0.571,1407.41,33.51,-487.85
PAYTM,39,19,0.487,1371.7,35.17,-219.6
ADANIGREEN,44,22,0.5,1361.3,30.94,-336.0
BHEL,40,19,0.475,1255.75,31.39,-139.35
MRPL,35,18,0.514,1066.14,30.46,-752.79
BPCL,38,18,0.474,1046.35,27.54,-176.9
MPHASIS,44,27,0.614,1044.4,23.74,-281.6
BERGEPAINT,35,15,0.429,1008.1,28.8,-331.9
CHOLAFIN,35,19,0.543,951.6,27.19,-205.2
HINDPETRO,43,23,0.535,949.6,22.08,-227.4
BAJFINANCE,39,18,0.462,934.15,23.95,-220.5
INDUSINDBK,36,20,0.556,921.45,25.6,-403.8
IOC,35,20,0.571,914.52,26.13,-136.84
INDIANB,39,19,0.487,911.7,23.38,-343.3
VOLTAS,40,22,0.55,908.6,22.72,-368.8
NMDC,39,14,0.359,897.42,23.01,-313.27
UPL,39,22,0.564,863.45,22.14,-123.75
COALINDIA,40,21,0.525,858.25,21.46,-265.65
DIXON,40,18,0.45,827.0,20.68,-342.0
YESBANK,38,14,0.368,815.21,21.45,-582.45
INDIGO,34,16,0.471,809.8,23.82,-224.6
RECLTD,39,23,0.59,791.95,20.31,-194.85
SBIN,40,20,0.5,749.5,18.74,-231.5
MANAPPURAM,39,20,0.513,735.3,18.85,-268.35
BANKINDIA,39,19,0.487,706.42,18.11,-264.34
RBLBANK,47,19,0.404,704.6,14.99,-443.4
JSWENERGY,37,18,0.486,674.9,18.24,-478.65
HDFCBANK,33,21,0.636,661.4,20.04,-96.0
RELIANCE,39,17,0.436,653.9,16.77,-172.2
BANKBARODA,37,19,0.514,652.8,17.64,-457.7
MOIL,33,21,0.636,649.5,19.68,-267.3
IRCTC,43,27,0.628,631.15,14.68,-293.75
NATIONALUM,38,18,0.474,626.3,16.48,-388.5
GAIL,42,21,0.5,580.34,13.82,-348.11
ADANIPORTS,46,24,0.522,578.6,12.58,-226.0
JPPOWER,34,8,0.235,565.27,16.63,-1106.1
TCS,41,24,0.585,548.8,13.39,-251.2
AXISBANK,42,22,0.524,544.5,12.96,-232.0
CANBK,38,17,0.447,522.21,13.74,-427.88
NBCC,39,22,0.564,521.3,13.37,-300.43
PERSISTENT,35,16,0.457,510.9,14.6,-357.2
INFY,32,16,0.5,508.6,15.89,-217.8
BANDHANBNK,47,20,0.426,500.22,10.64,-466.98
WHIRLPOOL,32,18,0.562,492.8,15.4,-283.2
OIL,44,18,0.409,484.35,11.01,-872.85
BAJAJFINSV,40,18,0.45,459.5,11.49,-202.0
MUTHOOTFIN,40,15,0.375,423.4,10.58,-382.5
IRFC,34,16,0.471,421.76,12.4,-188.41
SAIL,44,21,0.477,412.69,9.38,-484.46
TATAELXSI,38,20,0.526,402.2,10.58,-231.0
PNB,39,18,0.462,374.17,9.59,-487.31
UNITDSPR,34,17,0.5,365.6,10.75,-236.6
ONGC,35,13,0.371,362.3,10.35,-717.25
ICICIBANK,37,16,0.432,327.2,8.84,-279.0
TATACHEM,34,16,0.471,293.85,8.64,-278.65
HINDCOPPER,40,21,0.525,279.8,7.0,-525.15
BHARTIARTL,31,18,0.581,270.0,8.71,-204.0
HEROMOTOCO,39,16,0.41,266.2,6.83,-345.4
CIPLA,35,16,0.457,265.7,7.59,-495.6
SUNPHARMA,40,18,0.45,232.0,5.8,-216.5
ABB,40,19,0.475,228.5,5.71,-268.5
PFC,37,17,0.459,225.95,6.11,-427.2
LT,42,20,0.476,225.8,5.38,-184.6
RVNL,40,17,0.425,212.85,5.32,-654.45
JSWSTEEL,37,16,0.432,205.8,5.56,-362.6
SIEMENS,41,16,0.39,162.8,3.97,-910.0
NYKAA,38,15,0.395,155.7,4.1,-254.2
NTPC,41,17,0.415,133.95,3.27,-307.85
IDFCFIRSTB,34,16,0.471,93.04,2.74,-285.2
PIDILITIND,33,14,0.424,92.0,2.79,-259.8
IOB,30,14,0.467,85.45,2.85,-369.3
FEDERALBNK,38,17,0.447,63.25,1.66,-453.5
POWERGRID,33,14,0.424,56.85,1.72,-218.2
UNIONBANK,37,15,0.405,56.83,1.54,-404.54
TECHM,40,20,0.5,-0.2,-0.0,-391.1
TATASTEEL,39,18,0.462,-9.6,-0.25,-385.81
IDEA,35,13,0.371,-18.92,-0.54,-683.64
WIPRO,43,14,0.326,-47.88,-1.11,-406.54
HCLTECH,39,16,0.41,-94.3,-2.42,-376.0
TVSMOTOR,36,20,0.556,-95.0,-2.64,-329.1
TATAPOWER,41,16,0.39,-120.8,-2.95,-302.2
DELHIVERY,41,17,0.415,-220.95,-5.39,-562.95
HINDZINC,36,12,0.333,-298.1,-8.28,-542.1
HAVELLS,41,16,0.39,-314.4,-7.67,-364.0
SJVN,34,13,0.382,-344.87,-10.14,-708.57
DRREDDY,39,16,0.41,-438.9,-11.25,-626.5
RPOWER,40,15,0.375,-449.42,-11.24,-967.79
MOTHERSON,34,12,0.353,-528.58,-15.55,-974.42
HINDALCO,46,18,0.391,-681.5,-14.82,-792.3
HUDCO,32,7,0.219,-1047.75,-32.74,-1047.75
