# sweep: 320 configs x 25 stocks, 15m/60d yfinance, train/test split
 atr  mult  ema         exit    train     test  trades   win%
  21   3.0  100          tp3    -4169    -2278     147   34.7
  21   3.0  100   be1.0+noTr    -3960    -2484     147   33.3
  21   3.0  100  be1.0+tr2.0    -4123    -2616     147   36.1
  21   2.0   20          tp3   -10310    -2802     355   40.0
   7   2.5  100          tp3    -7503    -2870     172   32.6
  21   1.5   50  be1.0+tr2.0   -12498    -2900     344   38.1
  21   1.5   50   be1.0+noTr   -12376    -2929     344   38.1
  21   1.5   20  be1.0+tr2.0   -11960    -2956     448   38.6
  21   2.0   20  be1.0+tr2.0   -10180    -2968     355   39.7
  21   1.5   20   be1.0+noTr   -11839    -3022     448   38.6
  14   3.0  100   be1.0+noTr    -4300    -3047     141   33.3
  14   1.5   20  be1.0+tr2.0   -13217    -3052     450   38.2
  21   2.0   20   be1.0+noTr   -10367    -3054     355   39.7
  14   3.0  100  be1.0+tr2.0    -4371    -3092     141   34.8
  14   1.5   20   be1.0+noTr   -13213    -3119     450   38.2
  21   3.0  100  be0.5+tr1.5    -4017    -3178     147   34.0
  14   3.0  100  be0.5+tr1.5    -4280    -3185     141   31.2
  14   3.0   50   be1.0+noTr    -3681    -3265     177   35.0
  14   3.0  100          tp3    -4580    -3325     141   34.0
  14   3.0   50          tp3    -3941    -3389     177   36.2
  21   3.0   50          tp3    -3934    -3425     183   33.9
  10   1.5   20  be1.0+tr2.0   -13347    -3445     440   38.9
  21   2.0   50  be1.0+tr2.0   -11427    -3449     254   38.2
  21   2.0   50   be1.0+noTr   -11687    -3504     254   37.8
  10   1.5   20   be1.0+noTr   -13284    -3526     440   38.6
   7   2.5   50          tp3    -7220    -3536     203   34.5
  14   1.5   50  be1.0+tr2.0   -13223    -3561     338   37.3
  14   1.5   50   be1.0+noTr   -13218    -3589     338   37.3
   7   2.5  100   be1.0+noTr    -7100    -3590     172   31.4
  21   2.0   50          tp3   -11247    -3645     254   38.2
   7   2.5   20          tp3    -6892    -3690     314   36.6
  10   2.5  100          tp3    -8698    -3723     176   31.8
  21   3.0   50   be1.0+noTr    -3668    -3752     183   32.2
  21   2.0  100  be1.0+tr2.0   -12000    -3775     234   36.3
  21   2.0  100   be1.0+noTr   -12328    -3780     234   35.9
  21   1.5   20          tp3   -10664    -3821     448   38.8
  14   3.0   20   be1.0+noTr    -3968    -3836     256   37.5
   7   2.5  100  be0.5+tr1.5    -6511    -3881     172   29.1
   7   2.5  100  be1.0+tr2.0    -7082    -3888     172   32.6
  14   1.5   20          tp3   -12350    -3933     450   38.4
  14   3.0   50  be1.0+tr2.0    -3737    -3934     177   36.2
  14   2.0   50          tp3   -11278    -3968     249   39.4
  10   3.0  100          tp3    -5652    -3986     132   31.8
  21   2.0   50  be0.5+tr1.5   -10641    -3988     254   33.5
  21   2.0  100          tp3   -11809    -3999     234   36.3
  21   3.0   50  be1.0+tr2.0    -4040    -4000     183   35.0
  14   3.0   20          tp3    -4450    -4023     256   38.3
  14   2.5  100          tp3    -8610    -4035     182   30.2
  21   1.5   20  be0.5+tr1.5   -12477    -4042     448   33.0
  14   2.0   20          tp3   -10451    -4045     362   39.8
  10   2.5  100   be1.0+noTr    -8345    -4189     176   30.7
  14   2.0   50  be1.0+tr2.0   -11332    -4204     249   39.4
  10   2.0   50          tp3   -10593    -4211     246   39.8
  10   3.0   50          tp3    -4820    -4221     164   34.1
  21   1.5   50  be0.5+tr1.5   -11870    -4221     344   31.7
  21   1.5   50          tp3   -11418    -4222     344   38.4
  14   2.0   50   be1.0+noTr   -11545    -4255     249   39.0
   7   2.5   50   be1.0+noTr    -6963    -4265     203   33.5
  10   3.0  100   be1.0+noTr    -5312    -4271     132   30.3
  10   3.0  100  be1.0+tr2.0    -5429    -4274     132   31.8
  14   1.5   20  be0.5+tr1.5   -13943    -4280     450   32.4
  10   2.5   50          tp3    -8680    -4290     206   34.0
  10   2.5  100  be1.0+tr2.0    -8332    -4290     176   31.2
  10   2.0  100          tp3   -11744    -4296     227   39.2
  10   1.5   20          tp3   -12391    -4301     440   38.9
  10   3.0  100  be0.5+tr1.5    -5396    -4324     132   28.8
  14   2.0  100          tp3   -11897    -4330     230   38.3
  14   3.0   50  be0.5+tr1.5    -4489    -4348     177   32.8
  21   2.0   20  be0.5+tr1.5   -10273    -4386     355   33.2
  14   2.0   50  be0.5+tr1.5   -10544    -4424     249   33.7
