time,symbol,open,high,low,close,atr,supertrend,trend,upper,lower,ema,position,signal,reason
2026-07-20 09:15,ADANIPOWER,215.74,216.60,213.80,214.30,0.95,215.17,-1,215.17,213.78,216.54,0,,
2026-07-20 09:15,INFY,1101.00,1103.10,1091.00,1096.80,4.77,1103.32,-1,1103.32,1094.90,1094.91,0,,
2026-07-20 09:15,ZYDUSLIFE,1144.00,1159.40,1144.00,1148.80,5.10,1144.06,1,1143.45,1144.06,1146.60,0,,
2026-07-20 09:15,ADANIGREEN,1523.00,1523.00,1499.40,1509.30,7.60,1522.59,-1,1522.59,1507.90,1540.71,0,,
2026-07-20 09:15,HDFCAMC,2655.20,2655.20,2603.00,2609.20,13.10,2648.75,-1,2648.75,2640.60,2641.54,0,,
2026-07-20 09:15,ETERNAL,285.85,286.50,284.45,284.45,1.22,286.63,-1,286.63,284.53,287.33,0,,
2026-07-20 09:15,HCLTECH,1200.10,1215.20,1200.10,1207.60,4.70,1201.94,1,1211.78,1201.94,1198.46,0,,
2026-07-20 09:15,DIVISLAB,7253.50,7321.50,7245.50,7280.00,27.15,7242.78,1,7242.45,7242.78,7257.92,0,,
2026-07-20 09:30,ADANIGREEN,1509.70,1510.80,1498.00,1499.00,7.97,1516.35,-1,1516.35,1507.90,1539.07,0,,
2026-07-20 09:30,INFY,1096.70,1098.90,1093.60,1096.90,4.80,1103.32,-1,1103.32,1094.90,1094.99,0,,
2026-07-20 09:30,ETERNAL,284.55,286.35,284.40,286.30,1.27,286.63,-1,286.63,283.47,287.29,0,,
2026-07-20 09:30,DIVISLAB,7283.50,7309.50,7283.50,7295.00,27.32,7255.53,1,7337.47,7255.53,7259.37,0,,
2026-07-20 09:30,HCLTECH,1208.90,1211.50,1207.30,1211.50,4.67,1202.40,1,1211.78,1202.40,1198.97,0,,
2026-07-20 09:30,ADANIPOWER,214.28,215.21,213.95,214.38,0.97,215.17,-1,215.17,213.78,216.45,0,,
2026-07-20 09:30,ZYDUSLIFE,1149.50,1155.40,1148.30,1153.30,5.24,1144.06,1,1159.71,1144.06,1146.86,0,,
2026-07-20 09:30,HDFCAMC,2609.00,2625.90,2608.80,2616.10,13.39,2637.43,-1,2637.43,2597.27,2640.55,0,,
2026-07-20 09:45,ADANIPOWER,214.35,215.70,214.31,214.96,1.00,215.17,-1,215.17,213.78,216.40,0,,
2026-07-20 09:45,ETERNAL,286.35,286.45,285.30,285.55,1.26,286.63,-1,286.63,283.98,287.22,0,,
2026-07-20 09:45,DIVISLAB,7294.00,7321.50,7288.00,7317.50,27.76,7263.11,1,7337.47,7263.11,7261.65,0,,
2026-07-20 09:45,INFY,1097.20,1097.80,1091.00,1092.70,4.95,1101.82,-1,1101.82,1094.90,1094.90,0,,
2026-07-20 09:45,ADANIGREEN,1498.50,1511.40,1498.00,1506.70,8.36,1516.35,-1,1516.35,1492.17,1537.81,0,,
2026-07-20 09:45,ZYDUSLIFE,1153.40,1158.00,1153.40,1157.80,5.20,1147.90,1,1159.71,1147.90,1147.29,0,,
2026-07-20 09:45,HCLTECH,1210.50,1211.20,1206.30,1207.60,4.71,1202.40,1,1211.78,1202.40,1199.31,0,,
2026-07-20 09:45,HDFCAMC,2617.00,2620.00,2612.00,2616.60,13.00,2635.50,-1,2635.50,2597.27,2639.61,0,,
2026-07-20 10:00,INFY,1093.00,1094.60,1090.10,1090.40,4.91,1099.72,-1,1099.72,1084.98,1094.73,0,,
2026-07-20 10:00,ADANIPOWER,215.05,215.59,214.96,215.33,0.97,213.82,1,215.17,213.82,216.35,0,,
2026-07-20 10:00,ADANIGREEN,1506.00,1511.00,1502.20,1511.00,8.39,1516.35,-1,1516.35,1494.02,1536.75,0,,
2026-07-20 10:00,HCLTECH,1207.70,1208.90,1205.70,1206.70,4.60,1202.40,1,1211.78,1202.40,1199.60,0,,
2026-07-20 10:00,HDFCAMC,2624.40,2628.70,2619.20,2627.80,12.94,2635.50,-1,2635.50,2604.54,2639.14,0,,
2026-07-20 10:00,ETERNAL,285.65,286.45,285.55,286.05,1.24,286.63,-1,286.63,284.14,287.18,0,,
2026-07-20 10:00,ZYDUSLIFE,1156.60,1157.70,1154.70,1157.50,5.05,1148.62,1,1159.71,1148.62,1147.69,0,,
2026-07-20 10:00,DIVISLAB,7322.50,7340.00,7317.00,7320.00,27.42,7287.37,1,7337.47,7287.37,7263.94,0,,
2026-07-20 10:15,ETERNAL,286.00,288.00,286.00,287.80,1.29,285.06,1,286.63,285.06,287.20,1,BUY,flip UP | atr=1.29 st=285.06 sl=285.86
2026-07-20 10:15,ADANIPOWER,215.46,217.25,215.17,217.25,1.05,214.63,1,217.79,214.63,216.39,0,,
2026-07-20 10:15,ADANIGREEN,1510.80,1514.00,1507.00,1512.60,8.29,1516.35,-1,1516.35,1498.07,1535.81,0,,
2026-07-20 10:15,INFY,1090.50,1094.70,1089.20,1093.60,4.96,1099.38,-1,1099.38,1084.98,1094.68,0,,
2026-07-20 10:15,HCLTECH,1206.30,1210.00,1205.40,1209.30,4.60,1202.40,1,1211.78,1202.40,1199.98,0,,
2026-07-20 10:15,HDFCAMC,2628.10,2633.10,2623.30,2625.20,12.71,2635.50,-1,2635.50,2609.13,2638.60,0,,
2026-07-20 10:15,DIVISLAB,7317.50,7329.50,7314.00,7321.00,26.57,7287.37,1,7337.47,7287.37,7266.18,0,,
2026-07-20 10:15,ZYDUSLIFE,1158.00,1163.90,1156.50,1163.00,5.22,1152.37,1,1159.71,1152.37,1148.29,0,,
2026-07-20 10:30,ADANIPOWER,217.17,219.10,216.74,217.95,1.14,216.20,1,217.79,216.20,216.45,0,,
2026-07-20 10:30,HDFCAMC,2625.50,2635.00,2620.40,2622.00,12.85,2635.50,-1,2635.50,2609.13,2637.95,0,,
2026-07-20 10:30,ETERNAL,287.65,289.05,287.55,288.55,1.31,286.34,1,290.26,286.34,287.25,0,,
2026-07-20 10:30,DIVISLAB,7322.00,7330.00,7316.00,7329.50,25.67,7287.37,1,7337.47,7287.37,7268.66,0,,
2026-07-20 10:30,HCLTECH,1209.00,1210.00,1208.30,1209.40,4.39,1202.56,1,1211.78,1202.56,1200.35,0,,
2026-07-20 10:30,ADANIGREEN,1512.70,1523.70,1512.00,1518.00,8.53,1505.05,1,1516.35,1505.05,1535.11,0,,
2026-07-20 10:30,INFY,1093.20,1095.40,1092.00,1092.70,4.85,1099.38,-1,1099.38,1086.43,1094.60,0,,
2026-07-20 10:30,ZYDUSLIFE,1162.90,1163.90,1161.80,1162.40,5.00,1155.36,1,1170.34,1155.36,1148.84,0,,
2026-07-20 10:45,INFY,1092.80,1094.80,1092.40,1094.30,4.67,1099.38,-1,1099.38,1086.59,1094.59,0,,
2026-07-20 10:45,ZYDUSLIFE,1162.60,1162.60,1157.10,1159.80,5.03,1155.36,1,1167.40,1155.36,1149.27,0,,
2026-07-20 10:45,ETERNAL,288.60,288.60,287.85,288.35,1.27,286.34,1,290.12,286.34,287.30,0,,
2026-07-20 10:45,DIVISLAB,7327.50,7346.50,7320.00,7344.00,25.73,7294.66,1,7337.47,7294.66,7271.61,0,,
2026-07-20 10:45,HCLTECH,1209.90,1213.80,1209.30,1212.60,4.40,1204.95,1,1211.78,1204.95,1200.83,0,,
2026-07-20 10:45,HDFCAMC,2620.50,2621.00,2613.30,2614.30,12.55,2635.50,-1,2635.50,2609.13,2637.02,0,,
2026-07-20 10:45,ADANIGREEN,1518.30,1522.00,1515.00,1520.90,8.42,1505.87,1,1531.13,1505.87,1534.55,0,,
2026-07-20 10:45,ADANIPOWER,217.90,218.55,217.70,218.30,1.12,216.44,1,219.81,216.44,216.52,0,,
2026-07-20 11:00,INFY,1094.60,1095.50,1093.00,1093.80,4.52,1099.38,-1,1099.38,1087.48,1094.56,0,,
