trade_no,symbol,side,entry_time,entry_price,exit_time,exit_price,qty,pnl
5,SAIL,SHORT,09:30,167.49,10:15,165.72,59,104.43
8,SUZLON,SHORT,11:15,58.11,11:30,57.77,172,58.48
9,PNB,SHORT,11:30,107.00,11:30,106.92,93,7.44
16,NATIONALUM,LONG,13:30,352.15,14:15,351.75,28,-11.20
17,NMDC,LONG,14:15,86.01,14:15,86.48,116,54.52
18,TATASTEEL,LONG,14:15,192.33,14:30,192.10,51,-11.73
19,NHPC,LONG,14:30,78.01,14:30,80.18,128,277.76
20,RPOWER,LONG,14:30,25.51,14:30,25.41,392,-39.20
21,SUZLON,LONG,14:30,58.61,14:30,58.70,170,15.30
22,TATASTEEL,SHORT,14:30,190.06,15:00,190.15,52,-4.68
22,NHPC,SHORT,14:30,79.59,15:00,79.45,125,17.50
22,SAIL,LONG,14:30,168.11,15:00,171.70,59,211.81
22,PNB,LONG,14:30,107.61,15:00,107.74,92,11.96
22,NMDC,SHORT,14:30,86.01,15:00,86.18,116,-19.72
22,IDFCFIRSTB,LONG,14:30,79.15,15:00,79.22,126,8.82
22,NATIONALUM,SHORT,14:30,349.15,15:00,348.80,28,9.80
22,YESBANK,LONG,14:30,25.00,15:00,24.96,400,-16.00
22,BANKBARODA,LONG,14:30,281.10,15:00,279.95,35,-40.25
22,IDEA,LONG,14:30,14.43,15:00,14.38,693,-34.65
22,SUZLON,SHORT,14:30,58.21,15:00,58.08,171,22.23
22,RPOWER,SHORT,14:30,25.23,15:00,25.19,396,15.84
22,NTPC,LONG,14:30,360.00,15:00,359.20,27,-21.60
