symbol,strategy,pnl_58d,wr_58d,t_58d,mis_58d,cnc_58d,pnl_5d,wr_5d,t_5d,pass
HFCL,CNC,8098.02,0.63,27,2556.21,8098.02,352.54,1.0,3,True
COFORGE,CNC,3295.8,0.593,27,1455.9,3295.8,-232.3,0.0,2,False
BHEL,CNC,2747.1,0.438,32,1124.95,2747.1,32.4,0.4,5,True
INFY,CNC,2698.2,0.533,30,524.6,2698.2,139.5,0.5,4,True
VOLTAS,CNC,2672.0,0.562,32,913.3,2672.0,-115.5,0.25,4,False
MRPL,CNC,2572.64,0.516,31,1314.61,2572.64,42.24,0.667,3,True
ASHOKLEY,MIS,2557.64,0.694,36,2557.64,2273.26,147.05,0.667,3,True
HINDPETRO,CNC,2298.85,0.545,33,985.3,2298.85,-6.5,0.25,4,False
ADANIGREEN,CNC,2159.6,0.441,34,968.4,2159.6,24.6,0.5,4,True
MANAPPURAM,CNC,1999.35,0.469,32,515.6,1999.35,76.05,0.5,4,True
SILVERBEES,CNC,1959.45,0.394,33,-68.79,1959.45,25.24,0.5,4,True
PERSISTENT,CNC,1894.7,0.516,31,421.3,1894.7,204.0,0.4,5,True
TCS,CNC,1851.2,0.567,30,686.4,1851.2,195.2,0.5,2,True
TATACHEM,CNC,1818.6,0.633,30,249.05,1818.6,-90.35,0.6,5,False
DIXON,CNC,1794.0,0.455,33,856.0,1794.0,-232.0,0.0,3,False
IDEA,CNC,1730.93,0.323,31,-460.18,1730.93,243.31,0.333,3,True
BPCL,CNC,1724.55,0.533,30,916.75,1724.55,124.6,0.667,3,True
BANKBARODA,CNC,1650.35,0.552,29,650.05,1650.35,308.0,1.0,3,True
IOC,CNC,1570.57,0.483,29,969.12,1570.57,117.3,1.0,2,True
NHPC,MIS,1560.99,0.649,37,1560.99,1223.93,6.43,0.667,3,True
MOTHERSON,CNC,1550.34,0.531,32,-778.41,1550.34,33.67,0.333,3,True
IDFCFIRSTB,CNC,1527.56,0.567,30,90.33,1527.56,98.78,0.5,2,True
SUZLON,MIS,1499.5,0.571,42,1499.5,910.48,175.2,0.5,4,True
CHOLAFIN,CNC,1436.8,0.429,28,929.9,1436.8,-209.0,0.0,4,False
BAJFINANCE,CNC,1361.55,0.5,30,1184.15,1361.55,-25.0,0.333,3,False
BANKINDIA,CNC,1359.3,0.469,32,615.39,1359.3,-289.47,0.0,6,False
VEDL,MIS,1341.75,0.436,39,1341.75,1136.5,81.3,0.75,4,True
NYKAA,CNC,1330.35,0.548,31,303.95,1330.35,97.45,0.667,3,True
HDFCBANK,CNC,1295.7,0.481,27,936.2,1295.7,99.0,1.0,2,True
CANBK,CNC,1281.28,0.5,30,393.09,1281.28,-160.16,0.0,4,False
HAVELLS,CNC,1248.4,0.5,36,67.1,1248.4,84.8,0.8,5,True
ADANIPORTS,CNC,1242.8,0.471,34,702.8,1242.8,233.0,0.667,3,True
INDUSINDBK,CNC,1232.7,0.533,30,909.95,1232.7,221.5,0.333,3,True
JSWENERGY,CNC,1213.9,0.469,32,171.7,1213.9,5.95,0.333,3,True
INDIANB,CNC,1189.8,0.448,29,771.4,1189.8,-154.0,0.0,3,False
NMDC,CNC,1162.82,0.5,28,1114.92,1162.82,300.36,0.333,3,True
UNIONBANK,CNC,1071.66,0.5,32,-170.95,1071.66,-135.09,0.25,4,False
MUTHOOTFIN,CNC,1036.8,0.406,32,341.1,1036.8,-59.4,0.25,4,False
AXISBANK,CNC,1028.0,0.528,36,464.0,1028.0,-106.4,0.0,5,False
SBIN,CNC,956.8,0.536,28,816.1,956.8,29.7,0.5,4,True
TECHM,CNC,944.4,0.429,35,-156.0,944.4,-33.0,0.333,3,False
BHARTIARTL,CNC,915.5,0.444,27,213.5,915.5,73.5,0.5,2,True
HEROMOTOCO,CNC,904.0,0.389,36,323.8,904.0,28.6,0.667,6,True
MPHASIS,MIS,850.8,0.578,45,850.8,782.0,120.4,0.6,5,True
NATIONALUM,MIS,831.0,0.514,37,831.0,651.2,111.1,0.25,4,True
RECLTD,CNC,828.5,0.364,33,667.85,828.5,48.8,0.5,4,True
